idx,prompt
val_Spatial_Relation_1,Is the car beneath the cat? Select from the following choices.(A) yes (B) no
val_Spatial_Relation_2,Is the car under the cat? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_3,Is the bed at the right side of the dining table? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_4,Is the bowl in front of the apple? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_5,Is the person on top of the bed? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_6,Is the bicycle on the bus? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_7,Is the person next to the banana? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_8,Is the person touching the kite? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_9,Is the hair drier left of the person? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_10,Is the laptop touching the person? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_11,Is the person on top of the elephant? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_12,Does the suitcase contain the cat? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_13,Is the cat touching the wine glass? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_14,Is the person touching the donut? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_15,Is the vase behind the cat? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_16,Is the bus parallel to the motorcycle? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_17,Is the dog on the motorcycle? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_18,Is the dining table in front of the person? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_19,Is the laptop facing the chair? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_20,Is the laptop touching the teddy bear? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_21,Is the dining table under the cat? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_22,Is the pizza touching the person? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_23,Is the umbrella on top of the cat? Select from the following choices. (A) yes (B) no
val_Spatial_Relation_24,Is the cat surrounding the teddy bear? Select from the following choices. (A) yes (B) no
