idx,question
val_Spatial_Reasoning_1,The dog is on the surfboard.
val_Spatial_Reasoning_2,The laptop is at the left side of the dog.
val_Spatial_Reasoning_3,The laptop is inside the train.
val_Spatial_Reasoning_4,The zebra is behind the horse.
val_Spatial_Reasoning_5,The chair is under the dog.
val_Spatial_Reasoning_6,The chair is beneath the horse.
val_Spatial_Reasoning_7,The chair is above the dog.
val_Spatial_Reasoning_8,The zebra is left of the horse.
val_Spatial_Reasoning_9,The motorcycle is ahead of the train.
val_Spatial_Reasoning_10,The bench is over the dog.
val_Spatial_Reasoning_11,The train is perpendicular to the motorcycle.
val_Spatial_Reasoning_12,The laptop is above the dog.
val_Spatial_Reasoning_13,The motorcycle is behind the dog.
val_Spatial_Reasoning_14,The dog is in the middle of the chair.
val_Spatial_Reasoning_15,The refrigerator is at the left side of the dog.
val_Spatial_Reasoning_16,The chair is opposite to the dog.
val_Spatial_Reasoning_17,The dog is on the motorcycle.
val_Spatial_Reasoning_18,The bench is touching the dog.
val_Spatial_Reasoning_19,The bench is in front of the train.
val_Spatial_Reasoning_20,The laptop is on the bench.
val_Spatial_Reasoning_21,The bench is touching the dog.
val_Spatial_Reasoning_22,The laptop is facing the chair.
val_Spatial_Reasoning_23,The laptop is beside the train.
val_Spatial_Reasoning_24,The train is away from the chair.
val_Spatial_Reasoning_25,The laptop is at the left side of the dog.
val_Spatial_Reasoning_26,The dog is in front of the chair.
val_Spatial_Reasoning_27,The laptop is on top of the handbag.
val_Spatial_Reasoning_28,The dog is on the motorcycle.
val_Spatial_Reasoning_29,The laptop is in front of the dog.
val_Spatial_Reasoning_30,The chair is on the train.
val_Spatial_Reasoning_31,The dog is at the left side of the motorcycle.
val_Spatial_Reasoning_32,The bench is under the dog.
val_Spatial_Reasoning_33,The laptop is on top of the bench.
val_Spatial_Reasoning_34,The dog is under the chair.
val_Spatial_Reasoning_35,The laptop is on top of the bench.
val_Spatial_Reasoning_36,The motorcycle is ahead of the train.
val_Spatial_Reasoning_37,The laptop is at the left side of the dog.
val_Spatial_Reasoning_38,The dog is below the bench.
val_Spatial_Reasoning_39,The chair is behind the dog.
val_Spatial_Reasoning_40,The train is left of the bench.
val_Spatial_Reasoning_41,The chair is above the dog.
val_Spatial_Reasoning_42,The dog is on top of the motorcycle.
val_Spatial_Reasoning_43,The dog is far away from the horse.
val_Spatial_Reasoning_44,The chair is away from the horse.
val_Spatial_Reasoning_45,The train contains the laptop.
val_Spatial_Reasoning_46,The train contains the laptop.
val_Spatial_Reasoning_47,The refrigerator is behind the dog.
val_Spatial_Reasoning_48,The dog is in front of the motorcycle.
val_Spatial_Reasoning_49,The motorcycle is ahead of the train.
val_Spatial_Reasoning_50,The motorcycle is under the dog.
val_Spatial_Reasoning_51,The chair is against the train.
val_Spatial_Reasoning_52,The dog is below the motorcycle.
val_Spatial_Reasoning_53,The chair is at the right side of the laptop.
val_Spatial_Reasoning_54,The dog is on top of the motorcycle.
val_Spatial_Reasoning_55,The dog is in the motorcycle.
val_Spatial_Reasoning_56,The motorcycle is behind the dog.
val_Spatial_Reasoning_57,The motorcycle is behind the dog.
val_Spatial_Reasoning_58,The chair is behind the dog.
val_Spatial_Reasoning_59,The dog is at the right side of the laptop.
val_Spatial_Reasoning_60,The bench is touching the laptop.
val_Spatial_Reasoning_61,The train is perpendicular to the bench.
val_Spatial_Reasoning_62,The dog is under the bench.
val_Spatial_Reasoning_63,The refrigerator is behind the bench.
val_Spatial_Reasoning_64,The dog is under the chair.
val_Spatial_Reasoning_65,The bench is in front of the refrigerator.
val_Spatial_Reasoning_66,The chair is under the dog.
val_Spatial_Reasoning_67,The chair is at the right side of the dog.
